id,budget,revenue,original_title,director,genres,production_companies,vote_count,release_year,budget_adj,revenue_adj
15927,8000000,27187653,A Passage to India,David Lean,Drama|Adventure|History,Columbia Pictures|EMI Films Ltd.|Thorn EMI Screen Entertainment|Home Box Office,23,1984,16792336.3135532,57068026.594023
14746,14500000,8089290,Streets of Fire,Walter Hill,Action|Thriller|Music,Universal Pictures,48,1984,30436109.5683152,16979759.7772328
24128,1200000,4978922,Stop Making Sense,Jonathan Demme,Documentary|Music,Talking Heads|Arnold Stiefel Company,23,1984,2518850.44703298,10450966.5878686
14673,0,0,Savage Streets,Danny Steinmann,Horror|Action|Crime|Thriller,Ginso Investment Corp,18,1984,0.0,0.0
48677,0,0,Cloak & Dagger,Richard Franklin,Adventure|Action|Family,Universal Pictures,20,1984,0.0,0.0
16806,0,0,Johnny Dangerously,Amy Heckerling,Action|Comedy|Thriller|Crime,20th Century Fox|Edgewood Productions,21,1984,0.0,0.0
11950,0,28078073,Cannonball Run II,Hal Needham,Action|Adventure|Comedy,Golden Harvest Company|Warner Bros.,37,1984,0.0,58937055.6065622
15259,0,0,Breakin',Joel Silberg,Music,Metro-Goldwyn-Mayer (MGM)|Golan-Globus Productions,11,1984,0.0,0.0
16551,28000000,0,Rhinestone,Bob Clark,Comedy,20th Century Fox,15,1984,58773177.0974362,0.0
40814,0,0,Crimes of Passion,Ken Russell,Drama|Thriller|Romance,New World Pictures|Planet Productions|China Blue Productions,15,1984,0.0,0.0
17464,0,0,Breakin' 2: Electric Boogaloo,Sam Firstenberg,Drama|Music,TriStar Pictures|Cannon Films,10,1984,0.0,0.0
27414,1065000,0,"Silent Night, Deadly Night",Charles E. Sellier Jr.,Thriller|Horror,TriStar Pictures,31,1984,2235479.77174177,0.0
28054,0,0,Suburbia,Penelope Spheeris,Drama|Music,New World Pictures,10,1984,0.0,0.0
21989,0,0,Hot Dog... The Movie,Peter Markle,Comedy,United Artists|HOT DOG PARTNERSHIP PRODUCTIONS,12,1984,0.0,0.0
10606,0,0,The Philadelphia Experiment,Stewart Raffill,Adventure|Drama|Fantasy|Romance|Science Fiction,New World Pictures|Cinema Group Ventures,49,1984,0.0,0.0
21871,0,14134877,Tank,Marvin J. Chomsky,Action|Adventure|Comedy|Drama|Thriller,Lorimar Film Entertainment,15,1984,0.0,29669701.0418385
26522,0,0,A Soldier's Story,Norman Jewison,Drama|Mystery|War,Columbia Pictures Corporation,25,1984,0.0,0.0
11495,0,0,Firestarter,Mark L. Lester,Fantasy|Drama|Horror|Action|Thriller,Universal Pictures|Dino De Laurentiis Company,68,1984,0.0,0.0
5896,7000000,0,Bolero,John Derek,Drama|Romance,Golan-Globus,10,1984,14693294.274359,0.0
83223,0,0,Rats - Notte di terrore,Bruno Mattei|Claudio Fragasso,Horror|Science Fiction,Beatrice Film,11,1984,0.0,0.0
9507,0,0,Runaway,Michael Crichton,Thriller|Crime|Science Fiction,TriStar Pictures,31,1984,0.0,0.0
23730,1250000,3412497,C.H.U.D.,Douglas Cheek,Horror|Science Fiction,New World Pictures,22,1984,2623802.54899269,7162974.66162392
18498,1000000,35000000,Ghoulies,Luca Bercovici,Comedy|Horror|Fantasy,Empire Pictures,22,1984,2099042.03919415,73466471.3717953
13681,0,0,Places in the Heart,Robert Benton,Drama|Family,TriStar Pictures|Delphi II Productions,13,1984,0.0,0.0
11221,18000000,19265302,Best Defense,Willard Huyck,Action|Comedy,Paramount Pictures|Cinema Group Ventures,10,1984,37782756.7054947,40438678.7957711
32081,0,0,The Pope of Greenwich Village,Stuart Rosenberg,Drama|Action|Comedy|Crime,United Artists,13,1984,0.0,0.0
10179,9000000,0,The Ice Pirates,Stewart Raffill,Action|Science Fiction|Comedy,JF Productions|Metro-Goldwyn-Mayer (MGM),22,1984,18891378.3527473,0.0
26178,5500000,801000,Razorback,Russell Mulcahy,Horror,McElroy & McElroy|UAA Films|Western Film Productions,13,1984,11544731.2155678,1681332.67339451
27171,0,0,The Lonely Guy,Arthur Hiller,Comedy|Romance,Universal Pictures|Aspen Film Society,13,1984,0.0,0.0
12762,8000000,10600497,Broadway Danny Rose,Woody Allen,Comedy,Orion Pictures Corporation,41,1984,16792336.3135532,22250888.8393514
19400,0,1337274,Gwendoline,Just Jaeckin,Adventure|Fantasy|Thriller,Films de L'Alma|G.P.F.I.|Parafrance Films,11,1984,0.0,2806994.34392132
28148,0,0,Ninja III: The Domination,Sam Firstenberg,Horror|Action,Golan-Globus|Cannon Films,10,1984,0.0,0.0
17667,0,0,Beat Street,Stan Lathan,Music|Family|Drama,Orion Pictures,11,1984,0.0,0.0
19596,0,0,Electric Dreams,Steve Barron,Comedy,Virgin,11,1984,0.0,0.0
19621,0,0,The Hit,Stephen Frears,Drama|Action|Thriller|Crime,Zenith Entertainment|Central|Recorded Picture Company (RPC),13,1984,0.0,0.0
41089,0,0,Under the Volcano,John Huston,Drama,Conacite Uno|Ithaca,11,1984,0.0,0.0
11905,2000000,0,The Company of Wolves,Neil Jordan,Fantasy|Horror|Science Fiction,Palace Pictures|Incorporated Television Company (ITC),14,1984,4198084.0783883,0.0
1892,32350000,572700000,Return of the Jedi,Richard Marquand,Adventure|Action|Science Fiction,Lucasfilm|Twentieth Century Fox Film Corporation,3101,1983,70824243.1274759,1253818981.11608
111,25000000,65884703,Scarface,Brian De Palma,Action|Crime|Drama|Thriller,Universal Pictures,1741,1983,54732799.9439536,144242170.746632
36670,36000000,160000000,Never Say Never Again,Irvin Kershner,Adventure|Action|Thriller,PSO International|TaliaFilm II Productions|Woodcote,183,1983,78815231.9192932,350289919.641303
700,27500000,183700000,Octopussy,John Glen,Adventure|Action|Thriller,Eon Productions,289,1983,60206079.9383489,402176613.988171
850,0,19294144,A Christmas Story,Bob Clark,Comedy|Family,Metro-Goldwyn-Mayer (MGM)|Christmas Tree Films,186,1983,0.0,42240900.9456733
9531,39000000,75800000,Superman III,Richard Lester,Comedy|Action|Adventure|Fantasy|Science Fiction,Warner Bros.|Dovemead Films|Cantharus Productions,239,1983,85383167.9125676,165949849.430067
1621,40600000,90400000,Trading Places,John Landis,Comedy|Drama,Paramount Pictures|Cinema Group Ventures,353,1983,88886067.1089806,197913804.597336
860,12000000,79567667,WarGames,John Badham,Thriller|Science Fiction,United Artists|Sherwood Productions,257,1983,26271743.9730977,174198447.996724
