id,budget,revenue,original_title,director,genres,vote_count,release_year,budget_adj,revenue_adj
41210,19000000,49830607,The Switch,Josh Gordon|Will Speck,Comedy|Romance|Drama,388,2010,19000000.0,49830607.0
27586,10000000,2995811,The Runaways,Floria Sigismondi,Drama|Music,133,2010,10000000.0,2995811.0
32856,52000000,216485654,Valentine's Day,Garry Marshall,Comedy|Romance,675,2010,52000000.0,216485654.0
46261,25000000,36993168,Don't Be Afraid of the Dark,Troy Nixey,Fantasy|Horror|Thriller,186,2010,25000000.0,36993168.0
44683,0,0,Tinker Bell and the Great Fairy Rescue,Bradley Raymond,Animation|Adventure|Family|Fantasy,138,2010,0.0,0.0
41439,20000000,136150434,Saw 3D,Kevin Greutert,Horror|Crime,397,2010,20000000.0,136150434.0
38575,40000000,357852395,The Karate Kid,Harald Zwart,Action|Adventure|Drama|Family,1019,2010,40000000.0,357852395.0
41733,65000000,211780824,Due Date,Todd Phillips,Comedy|Drama,1015,2010,65000000.0,211780824.0
44147,8000000,3453043,Wild Target,Jonathan Lynn,Action|Comedy,101,2010,8000000.0,3453043.0
26389,52000000,52615806,From Paris with Love,Pierre Morel,Action|Crime|Thriller,432,2010,52000000.0,52615806.0
11439,45000000,60222298,The Ghost Writer,Roman Polanski,Thriller|Mystery,357,2010,45000000.0,60222298.0
43923,8000000,6491240,It's Kind of a Funny Story,Anna Boden|Ryan Fleck,Comedy|Drama,364,2010,8000000.0,6491240.0
43539,30000000,51148651,The Next Three Days,Paul Haggis,Romance|Drama|Thriller|Crime,570,2010,30000000.0,51148651.0
23437,35000000,115664037,A Nightmare on Elm Street,Samuel Bayer,Horror|Mystery|Thriller,423,2010,35000000.0,115664037.0
34813,25000000,23580000,The Losers,Sylvain White,Action|Adventure|Crime|Mystery|Thriller,298,2010,25000000.0,23580000.0
45317,25000000,9190869,The Fighter,David O. Russell,Drama,965,2010,25000000.0,9190869.0
32823,40000000,90029656,Get Him to the Greek,Nicholas Stoller,Comedy,359,2010,40000000.0,90029656.0
46838,0,0,Tucker and Dale vs Evil,Eli Craig,Comedy|Horror,457,2010,0.0,0.0
20533,47000000,10539000,Jonah Hex,Jimmy Hayward,Action|Western|Drama|Fantasy|Thriller,252,2010,47000000.0,10539000.0
42949,65000000,0,Arthur 3: la guerre des deux mondes,Luc Besson,Animation|Adventure|Fantasy|Family,185,2010,65000000.0,0.0
33473,0,0,Stomp the Yard 2: Homecoming,Rob Hardy,Drama|Music,19,2010,0.0,0.0
26022,22000000,0,My Name Is Khan,Karan Johar,Drama|Romance,140,2010,22000000.0,0.0
40264,20000000,80547866,Vampires Suck,Jason Friedberg|Aaron Seltzer,Horror|Comedy,177,2010,20000000.0,80547866.0
44639,2000000,7871522,Inside Job,Charles Ferguson,Documentary,171,2010,2000000.0,7871522.0
37821,75000000,98159963,Killers,Robert Luketic,Action|Comedy|Thriller|Romance,530,2010,75000000.0,98159963.0
22894,26000000,67918658,Legion,Scott Stewart,Horror,376,2010,26000000.0,67918658.0
44982,0,3317662,13,G̩la Babluani,Drama|Thriller,135,2010,0.0,3317662.0
37786,100000000,288347692,Sex and the City 2,Michael Patrick King,Comedy|Drama|Romance,275,2010,100000000.0,288347692.0
38303,20000000,32005248,You Again,Andy Fickman,Comedy|Romance,213,2010,20000000.0,32005248.0
35019,35000000,93246388,Nanny McPhee and the Big Bang,Susanna White,Fantasy|Comedy,228,2010,35000000.0,93246388.0
23048,36000000,64572262,Hot Tub Time Machine,Steve Pink,Science Fiction|Comedy|Adventure,550,2010,36000000.0,64572262.0
43549,21800000,0,The Experiment,Paul Scheuring,Thriller|Drama,143,2010,21800000.0,0.0
41402,20000000,24145613,Let Me In,Matt Reeves,Drama|Horror|Mystery,353,2010,20000000.0,24145613.0
43949,14000000,1755212,Flipped,Rob Reiner,Comedy|Drama|Romance,259,2010,14000000.0,1755212.0
41216,80000000,140073390,Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,Animation|Adventure|Family|Fantasy,471,2010,80000000.0,140073390.0
22907,32000000,69055695,Takers,John Luessenhop,Action|Crime|Drama|Thriller,248,2010,32000000.0,69055695.0
42297,55000000,89519773,Burlesque,Steve Antin,Drama|Romance,341,2010,55000000.0,89519773.0
44129,15000000,4882577,The Company Men,John Wells,Drama,133,2010,15000000.0,4882577.0
38073,32000000,42045846,Going the Distance,Nanette Burstein,Comedy|Drama|Romance,172,2010,32000000.0,42045846.0
41283,24000000,23081726,Faster,"George Tillman, Jr.",Crime|Drama|Action|Thriller,360,2010,24000000.0,23081726.0
41411,20000000,0,La Rafle,Roselyne Bosch,Drama|History|War,182,2010,20000000.0,0.0
41436,3000000,177512032,Paranormal Activity 2,Tod Williams,Horror|Thriller,421,2010,3000000.0,177512032.0
42188,15000000,9455232,Never Let Me Go,Mark Romanek,Drama|Romance|Science Fiction,414,2010,15000000.0,9455232.0
40662,0,6629178,Batman: Under the Red Hood,Brandon Vietti,Action|Animation,272,2010,0.0,6629178.0
27579,20000000,65464324,The American,Anton Corbijn,Crime|Drama|Thriller,290,2010,20000000.0,65464324.0
50393,0,0,Kung Fu Panda Holiday,Tim Johnson,Animation|Family,28,2010,0.0,0.0
23742,30000000,55583804,Cop Out,Kevin Smith,Action|Comedy|Crime,310,2010,30000000.0,55583804.0
101669,11000000,0,Mother's Day,Darren Lynn Bousman,Crime|Drama|Horror|Thriller,51,2010,11000000.0,0.0
43933,500000,4242978,Monsters,Gareth Edwards,Drama|Thriller|Science Fiction,328,2010,500000.0,4242978.0
59468,0,4430765,The Way,Emilio Estevez,Adventure|Comedy|Drama,93,2010,0.0,4430765.0
38408,38000000,105610124,Life as We Know It,Greg Berlanti,Comedy|Romance|Drama,516,2010,38000000.0,105610124.0
23759,12000000,6814789,Centurion,Neil Marshall,Drama|Action|Thriller,198,2010,12000000.0,6814789.0
55347,3200000,5332926,Beginners,Mike Mills,Drama|Romance|Comedy,204,2010,3200000.0,5332926.0
54553,0,0,Minions: Home Makeover,Kyle Balda|Samuel Tourneux,Animation|Comedy|Family,54,2010,0.0,0.0
41505,22000000,851517,Shelter,Bj̦rn Stein|M̴ns M̴rlind,Horror|Mystery|Thriller,112,2010,22000000.0,851517.0
44113,22000000,9479718,Stone,John Curran,Drama,97,2010,22000000.0,9479718.0
33217,15000000,75700498,Diary of a Wimpy Kid,Thor Freudenthal,Comedy|Family,190,2010,15000000.0,75700498.0
43947,2000000,572809,I Spit on Your Grave,Steven R. Monroe,Thriller|Crime|Horror,269,2010,2000000.0,572809.0
43593,24000000,83188165,Piranha 3D,Alexandre Aja,Comedy|Horror,306,2010,24000000.0,83188165.0
38357,40000000,58785180,Morning Glory,Roger Michell,Comedy|Drama|Romance,246,2010,40000000.0,58785180.0
45094,12500000,6732980,Conviction,Tony Goldwyn,Drama,87,2010,12500000.0,6732980.0
49852,90000000,16178959,The Nutcracker: The Untold Story,Andrei Konchalovsky,Fantasy|Action|Family,28,2010,90000000.0,16178959.0
38358,1800000,67738090,The Last Exorcism,Daniel Stamm,Horror|Drama|Thriller,179,2010,1800000.0,67738090.0
23023,48000000,112462508,Tooth Fairy,Michael Lembeck,Comedy|Family|Fantasy,282,2010,48000000.0,112462508.0
39285,0,0,Beauty & the Briefcase,Gil Junger,Romance|Comedy,90,2010,0.0,0.0
38363,22000000,24188922,Fair Game,Doug Liman,Drama|Thriller,129,2010,22000000.0,24188922.0
45657,10000000,498974,The Ward,John Carpenter,Horror|Thriller,166,2010,10000000.0,498974.0
30675,0,7000000,Planet Hulk,Sam Liu,Animation|Action|Science Fiction,59,2010,0.0,7000000.0
